timestamp,temperature,humidity,pressure
2024-06-07T15:37:40.489716,28.03,49.65,1040.96
2024-06-07T15:37:40.489716,26.48,46.68,983.28
2024-06-07T15:37:40.489716,22.83,65.3,976.67
2024-06-07T15:37:40.489716,26.56,65.51,987.56
2024-06-07T15:37:40.489716,21.22,38.21,1045.93
2024-06-07T15:37:40.489716,23.13,31.26,967.78
2024-06-07T15:37:40.489716,24.91,63.09,952.59
2024-06-07T15:37:40.489716,26.39,46.42,1029.13
2024-06-07T15:37:40.489716,23.01,31.45,969.74
2024-06-07T15:37:40.489716,24.22,59.22,1019.11
