timestamp,temperature,humidity,pressure
2024-06-07T11:48:34.924769,23.34,61.81,1029.99
2024-06-07T11:48:34.924769,28.59,31.99,1028.35
2024-06-07T11:48:34.924769,22.21,51.4,1026.32
2024-06-07T11:48:34.924769,24.07,40.85,953.3
2024-06-07T11:48:34.924769,27.04,45.32,1012.85
2024-06-07T11:48:34.924769,23.24,32.66,960.37
2024-06-07T11:48:34.924769,27.77,30.69,988.91
2024-06-07T11:48:34.924769,27.6,56.5,1002.69
2024-06-07T11:48:34.924769,24.36,55.09,981.46
2024-06-07T11:48:34.924769,26.44,58.03,955.18
