timestamp,temperature,humidity,pressure
2024-06-07T11:05:30.837351,26.35,55.88,1045.81
2024-06-07T11:05:30.837351,23.96,67.61,1039.83
2024-06-07T11:05:30.837351,27.79,34.53,1038.89
2024-06-07T11:05:30.837351,29.87,45.92,1046.78
2024-06-07T11:05:30.837351,25.04,51.09,968.58
2024-06-07T11:05:30.837351,21.67,34.99,1049.75
2024-06-07T11:05:30.837351,27.1,62.23,1016.37
2024-06-07T11:05:30.837351,26.15,39.41,982.46
2024-06-07T11:05:30.837351,28.67,45.85,1044.32
2024-06-07T11:05:30.837351,21.92,54.01,954.26
